Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	Loss After Update
7.053083896636963	0	15.4615384615	6.45714136102	43.0	8.0	15.4615384615	6.45714136102	1005	1005	0.0176666
7.283742904663086	1	14.9701492537	6.08882055891	34.0	8.0	14.9701492537	6.08882055891	1003	2008	0.0173462
7.505743026733398	2	16.7166666667	7.91010254183	50.0	8.0	16.7166666667	7.91010254183	1003	3011	0.0178384
7.746599912643433	3	16.6557377049	8.46958927508	52.0	8.0	16.6557377049	8.46958927508	1016	4027	0.0180918
7.96469783782959	4	18.9056603774	7.75634652116	46.0	9.0	18.9056603774	7.75634652116	1002	5029	0.0196213
8.20487380027771	5	20.16	12.3634299448	58.0	9.0	20.16	12.3634299448	1008	6037	0.0182205
8.431020021438599	6	19.862745098	10.5978532932	56.0	10.0	19.862745098	10.5978532932	1013	7050	0.0187681
8.741530895233154	7	22.5	14.8113132436	90.0	9.0	22.5	14.8113132436	1080	8130	0.0172177
8.96986198425293	8	25.8974358974	15.3752963228	71.0	9.0	25.8974358974	15.3752963228	1010	9140	0.0188776
9.197788000106812	9	24.4285714286	10.4178026591	54.0	10.0	24.4285714286	10.4178026591	1026	10166	0.0199471
9.42795181274414	10	28.2222222222	13.1172302105	60.0	9.0	28.2222222222	13.1172302105	1016	11182	0.0197033
9.653707027435303	11	28.1944444444	14.1398166035	66.0	8.0	28.1944444444	14.1398166035	1015	12197	0.0193619
9.871116876602173	12	37.0740740741	32.3487087451	163.0	11.0	37.0740740741	32.3487087451	1001	13198	0.016623
10.101784944534302	13	36.4642857143	20.1112657534	106.0	14.0	36.4642857143	20.1112657534	1021	14219	0.0181301
10.327194929122925	14	36.4642857143	25.9800502348	137.0	9.0	36.4642857143	25.9800502348	1021	15240	0.0173163
10.547648906707764	15	47.7619047619	29.2996095568	110.0	11.0	47.7619047619	29.2996095568	1003	16243	0.0189081
10.77682089805603	16	46.4545454545	22.4433170307	108.0	20.0	46.4545454545	22.4433170307	1022	17265	0.0185094
11.008227825164795	17	64.875	37.1599162405	141.0	21.0	64.875	37.1599162405	1038	18303	0.0182122
11.25288701057434	18	50.5714285714	29.0444182468	116.0	12.0	50.5714285714	29.0444182468	1062	19365	0.0179495
11.482824802398682	19	52.2	36.6314072894	161.0	15.0	52.2	36.6314072894	1044	20409	0.0170157
11.744720935821533	20	44.5217391304	18.4576355479	90.0	16.0	44.5217391304	18.4576355479	1024	21433	0.0187577
12.000779867172241	21	52.7368421053	34.161908774	158.0	16.0	52.7368421053	34.161908774	1002	22435	0.0172559
12.2933828830719	22	60.3529411765	37.6109201546	159.0	22.0	60.3529411765	37.6109201546	1026	23461	0.0169211
12.587086915969849	23	52.25	33.2578937998	134.0	19.0	52.25	33.2578937998	1045	24506	0.017434
12.888916015625	24	55.8947368421	33.43948932	136.0	18.0	55.8947368421	33.43948932	1062	25568	0.0173352
13.1611328125	25	58.5555555556	44.9644578432	200.0	16.0	58.5555555556	44.9644578432	1054	26622	0.0161117
13.457168817520142	26	50.2857142857	43.081476361	170.0	14.0	50.2857142857	43.081476361	1056	27678	0.0162932
13.77557897567749	27	75.0	42.0396638109	152.0	20.0	75.0	42.0396638109	1125	28803	0.0171076
14.045483827590942	28	70.6666666667	32.2669421476	131.0	21.0	70.6666666667	32.2669421476	1060	29863	0.0176174
14.292864799499512	29	85.25	52.0418501465	200.0	23.0	85.25	52.0418501465	1023	30886	0.0176371
14.51538896560669	30	59.4117647059	29.2314472555	134.0	17.0	59.4117647059	29.2314472555	1010	31896	0.0177112
14.784830808639526	31	71.2666666667	32.3799663715	157.0	28.0	71.2666666667	32.3799663715	1069	32965	0.0168724
15.098865985870361	32	83.2142857143	48.2170369585	165.0	17.0	83.2142857143	48.2170369585	1165	34130	0.0163684
15.39198899269104	33	87.75	55.8586385441	200.0	23.0	87.75	55.8586385441	1053	35183	0.0167254
15.676980018615723	34	77.6923076923	45.6329580885	197.0	18.0	77.6923076923	45.6329580885	1010	36193	0.017089
16.006369829177856	35	101.0	48.6751756779	200.0	46.0	101.0	48.6751756779	1111	37304	0.0169546
16.294893980026245	36	77.3571428571	33.616762704	138.0	18.0	77.3571428571	33.616762704	1083	38387	0.0177391
16.52083683013916	37	79.3846153846	33.2693863936	134.0	28.0	79.3846153846	33.2693863936	1032	39419	0.0177584
16.748410940170288	38	95.3636363636	31.4852713828	142.0	39.0	95.3636363636	31.4852713828	1049	40468	0.0180273
16.98577380180359	39	105.5	45.1447671386	167.0	52.0	105.5	45.1447671386	1055	41523	0.0176267
17.21847891807556	40	93.9090909091	58.4394862547	200.0	19.0	93.9090909091	58.4394862547	1033	42556	0.0168723
17.452204942703247	41	115.444444444	41.6522938174	177.0	39.0	115.444444444	41.6522938174	1039	43595	0.0179304
